Наименование;Раздел;Таблица фигур;Рабочая среда;Условная пропускная способность Kvy, м³/ч;Температура рабочей среды, °С;Температура окружающего воздуха, °С;Климатическое исполнение;Класс герметичности;Приемка;Назначенный срок службы, лет;Назначенный ресурс, циклов;Наработка на отказ, циклов;Гарантия;Конструктивный тип;Принцип устройства;Тип присоединения;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Масса, кг, не более;Цена закупки;Цена без НДС;Срок изготовления
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 200 PN 1,6 Мпа У1 (Kvy - 630? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"250; 400; 630";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;200;16;Углеродистая сталь;190;По запросу;248710;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 250 PN 1,6 Мпа У1 (Kvy - ? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);;От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;250;16;Углеродистая сталь;320;По запросу;0;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 300 PN 1,6 Мпа У1 (Kvy - ? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);;От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;300;16;Углеродистая сталь;390;По запросу;0;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 15 PN 2,5 Мпа У1 (Kvy - 4,0? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"0,1; 0,16; 0,25; 0,4; 0,6; 1,0; 1,6; 2,5; 3,2; 4,0";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;15;25;Углеродистая сталь;22;По запросу;37400;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 20 PN 2,5 Мпа У1 (Kvy - 6,3? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"1,6; 2,5; 4,0; 6,3";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;20;25;Углеродистая сталь;23;По запросу;38060;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 25 PN 2,5 Мпа У1 (Kvy - 16? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"1,6; 2,5; 4,0; 6,3; 10; 16";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;25;25;Углеродистая сталь;24;По запросу;40260;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 32 PN 2,5 Мпа У1 (Kvy - 25? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"6,3; 10; 16; 25";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;32;25;Углеродистая сталь;27;По запросу;50380;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 40 PN 2,5 Мпа У1 (Kvy - 40? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"10; 16; 25; 40";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;40;25;Углеродистая сталь;30;По запросу;51810;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 50 PN 2,5 Мпа У1 (Kvy - 63? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"10; 16; 25; 40; 63";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;50;25;Углеродистая сталь;32;По запросу;56100;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 65 PN 2,5 Мпа У1 (Kvy - 100? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"25; 40; 63; 100";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;65;25;Углеродистая сталь;55;По запросу;80520;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 80 PN 2,5 Мпа У1 (Kvy - 160? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"40; 63; 100; 160";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;80;25;Углеродистая сталь;63;По запросу;92070;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 100 PN 2,5 Мпа У1 (Kvy - 250? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"63; 100; 160; 250";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;100;25;Углеродистая сталь;72;По запросу;107910;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 15 PN 4,0 Мпа У1 (Kvy - 4,0? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"0,1; 0,16; 0,25; 0,4; 0,6; 1,0; 1,6; 2,5; 3,2; 4,0";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;15;40;Углеродистая сталь;22;По запросу;37400;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 20 PN 4,0 Мпа У1 (Kvy - 6,3? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"1,6; 2,5; 4,0; 6,3";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;20;40;Углеродистая сталь;23;По запросу;38060;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 25 PN 4,0 Мпа У1 (Kvy - 16? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"1,6; 2,5; 4,0; 6,3; 10; 16";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;25;40;Углеродистая сталь;24;По запросу;40260;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 32 PN 4,0 Мпа У1 (Kvy - 25? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"6,3; 10; 16; 25";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;32;40;Углеродистая сталь;27;По запросу;50380;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 40 PN 4,0 Мпа У1 (Kvy - 40? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"10; 16; 25; 40";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;40;40;Углеродистая сталь;30;По запросу;51810;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 50 PN 4,0 Мпа У1 (Kvy - 63? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"10; 16; 25; 40; 63";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;50;40;Углеродистая сталь;32;По запросу;56100;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 65 PN 4,0 Мпа У1 (Kvy - 100? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"25; 40; 63; 100";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;65;40;Углеродистая сталь;55;По запросу;80520;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 80 PN 4,0 Мпа У1 (Kvy - 160? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"40; 63; 100; 160";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;80;40;Углеродистая сталь;63;По запросу;92070;Под заказ
"Клапан регулирующий односедельный ""после себя"" нормально открытый фланцевый 25с47нж  DN 100 PN 4,0 Мпа У1 (Kvy - 250? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с47нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"63; 100; 160; 250";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально открытый;Фланцевое;100;40;Углеродистая сталь;72;По запросу;107910;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж  DN 15 PN 1,6 Мпа У1 (Kvy - 4,0? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"0,1; 0,16; 0,25; 0,4; 0,6; 1,0; 1,6; 2,5; 3,2; 4,0";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;15;16;Углеродистая сталь;22;По запросу;37400;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж  DN 20 PN 1,6 Мпа У1 (Kvy - 6,3? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"1,6; 2,5; 4,0; 6,3";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;20;16;Углеродистая сталь;23;По запросу;38060;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж  DN 25 PN 1,6 Мпа У1 (Kvy - 16? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"1,6; 2,5; 4,0; 6,3; 10; 16";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;25;16;Углеродистая сталь;24;По запросу;40260;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 32 PN 1,6 Мпа У1 (Kvy - 25? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"6,3; 10; 16; 25";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;32;16;Углеродистая сталь;27;По запросу;50380;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж  DN 40 PN 1,6 Мпа У1 (Kvy - 40? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"10; 16; 25; 40";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;40;16;Углеродистая сталь;30;По запросу;51810;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж  DN 50 PN 1,6 Мпа У1 (Kvy - 63? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"10; 16; 25; 40; 63";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;50;16;Углеродистая сталь;32;По запросу;56100;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж  DN 65 PN 1,6 Мпа У1 (Kvy - 100? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"25; 40; 63; 100";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;65;16;Углеродистая сталь;55;По запросу;80520;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж  DN 80 PN 1,6 Мпа У1 (Kvy - 160? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"40; 63; 100; 160";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;80;16;Углеродистая сталь;63;По запросу;92070;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 100 PN 1,6 Мпа У1 (Kvy - 250? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"63; 100; 160; 250";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;100;16;Углеродистая сталь;72;По запросу;107910;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 125 PN 1,6 Мпа У1 (Kvy - 320? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"100; 160; 250; 320";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;125;16;Углеродистая сталь;126;По запросу;162470;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 150 PN 1,6 Мпа У1 (Kvy - 400? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"160; 250; 400";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;150;16;Углеродистая сталь;152;По запросу;191290;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 200 PN 1,6 Мпа У1 (Kvy - 630? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"250; 400; 630";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;200;16;Углеродистая сталь;190;По запросу;248710;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 250 PN 1,6 Мпа У1 (Kvy - ? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);;От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;250;16;Углеродистая сталь;320;По запросу;0;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 300 PN 1,6 Мпа У1 (Kvy - ? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);;От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;300;16;Углеродистая сталь;390;По запросу;0;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 15 PN 2,5 Мпа У1 (Kvy - 4,0? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"0,1; 0,16; 0,25; 0,4; 0,6; 1,0; 1,6; 2,5; 3,2; 4,0";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;15;25;Углеродистая сталь;22;По запросу;37400;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 20 PN 2,5 Мпа У1 (Kvy - 6,3? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"1,6; 2,5; 4,0; 6,3";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;20;25;Углеродистая сталь;23;По запросу;38060;Под заказ
"Клапан регулирующий односедельный ""до себя"" нормально закрытый фланцевый 25с52нж DN 25 PN 2,5 Мпа У1 (Kvy - 16? м³/ч) с МИМ, корпус ст. 25Л";Клапаны регулирующие;25с52нж;Жидкие и газообразные среды, нейтральные к материалам деталей, соприкасающихся со средой (вода, пар, воздух, природный газ, мазут и другие жидкие нефтепродукты, газообразные и жидкие углеводородные смеси, масляные фракции и другие среды);"1,6; 2,5; 4,0; 6,3; 10; 16";От -40 до +425;От -30 до +50;У1;C;ОТК;12;70000;10000;12 месяцев со дня ввода в эксплуатацию, но не более 18 месяцев со дня отгрузки потребителю;Односедельный;Нормально закрытый;Фланцевое;25;25;Углеродистая сталь;24;По запросу;40260;Под заказ
